true_label,predicted_label,confidence_negatif,confidence_netral,confidence_positif
1,1,0.01222318,0.98489386,0.0028830175
2,2,0.0044743945,0.018841911,0.9766837
0,0,0.99405164,0.0052254084,0.00072302
1,1,0.003337605,0.88806605,0.10859633
2,2,0.001635577,0.004448935,0.9939155
0,0,0.97925425,0.019045182,0.0017006146
1,1,0.0073766047,0.9893197,0.0033037364
2,2,0.0056587113,0.022824952,0.9715163
0,0,0.99423087,0.0050404244,0.0007288401
1,1,0.0034161867,0.95270485,0.043878954
2,2,0.0020767888,0.004764306,0.9931589
0,0,0.9756832,0.022291398,0.0020254496
1,1,0.005380631,0.9921481,0.002471268
2,2,0.004635309,0.02048445,0.9748803
0,0,0.9892841,0.009828181,0.0008876612
1,1,0.0036505943,0.80502605,0.19132341
2,2,0.0014646645,0.0041967565,0.9943386
0,0,0.9790196,0.019244367,0.001736004
1,1,0.00624061,0.9909758,0.002783545
2,2,0.00455391,0.01928222,0.9761639
0,0,0.99405044,0.005226102,0.0007233853
1,1,0.0026602363,0.96463966,0.032700084
2,2,0.0017092457,0.003975084,0.9943157
0,0,0.97992307,0.0183442,0.0017327162
1,1,0.0074026445,0.9889447,0.003652588
2,2,0.004499618,0.01869329,0.97680706
0,0,0.9931004,0.006104879,0.0007947663
1,1,0.0027490528,0.9367639,0.060487125
2,2,0.001715585,0.0039940393,0.99429035
0,0,0.9724649,0.025316825,0.0022182434
1,1,0.0074474583,0.98909914,0.003453426
2,2,0.0054600816,0.022218848,0.9723211
0,0,0.9939097,0.0053455476,0.00074483885
1,1,0.004472878,0.9697418,0.025785334
2,2,0.0021456988,0.0039952626,0.9938591
0,0,0.97638446,0.021714918,0.0019006471
1,1,0.012285985,0.98463136,0.0030827178
2,2,0.006148301,0.026089864,0.9677618
0,0,0.9935411,0.005687928,0.0007709391
1,1,0.003316005,0.9236724,0.07301163
2,2,0.0015857051,0.004776595,0.9936376
0,0,0.97821224,0.019822035,0.0019657174
1,1,0.005236761,0.99135745,0.0034057605
2,2,0.0060514123,0.024922542,0.96902597
0,0,0.991364,0.0078397505,0.0007962647
1,1,0.0038632855,0.89228314,0.10385358
2,2,0.0026650555,0.006557631,0.99077725
0,0,0.97557676,0.022361616,0.002061561
1,1,0.006164141,0.99096584,0.0028700712
2,2,0.0048285094,0.019619275,0.97555226
0,0,0.9940545,0.005227325,0.00071825326
1,1,0.0035076384,0.8965581,0.099934325
2,2,0.0020645617,0.004854083,0.9930814
0,0,0.9778792,0.020345092,0.0017755822
1,1,0.009717,0.98640174,0.0038812198
2,2,0.0060976995,0.025912225,0.9679901
0,0,0.99314684,0.0060634017,0.00078977883
1,1,0.0027212594,0.94429725,0.052981477
2,2,0.0016383633,0.004522704,0.99383897
0,0,0.97493714,0.023251876,0.0018109787
1,1,0.0060054935,0.9911986,0.0027959293
2,2,0.0042320904,0.017280757,0.9784872
0,0,0.9942674,0.005007072,0.0007254619
1,1,0.0037573597,0.89589125,0.1003514
2,2,0.0013768014,0.0037922226,0.994831
0,0,0.97669697,0.021271583,0.0020315219
1,1,0.004536035,0.9933256,0.0021383283
2,2,0.0058774133,0.02381731,0.97030526
0,0,0.9926657,0.006562146,0.00077210146
1,1,0.004339795,0.8978965,0.09776361
2,2,0.0016914528,0.004865112,0.9934435
0,0,0.9829086,0.015448096,0.0016433555
1,1,0.005146131,0.9918799,0.0029740536
2,2,0.005717149,0.024199082,0.9700837
0,0,0.9926513,0.0065893545,0.00075930497
1,1,0.0041045668,0.91505605,0.0808394
2,2,0.0019263882,0.003962146,0.9941115
0,0,0.97065544,0.026993582,0.0023510682
1,1,0.02533778,0.96937716,0.0052850936
2,2,0.0052905264,0.02321922,0.9714903
0,0,0.99399525,0.005258006,0.0007467309
1,1,0.0030101442,0.86988354,0.12710628
2,2,0.0017769081,0.0052283118,0.9929947
0,0,0.98115104,0.017119884,0.0017290224
1,1,0.0055506355,0.99215454,0.002294854
2,2,0.0048415344,0.019945491,0.97521293
0,0,0.9935411,0.00569371,0.0007650823
1,1,0.0052334126,0.94877815,0.04598839
2,2,0.0016374538,0.0048720744,0.99349046
0,0,0.976474,0.021773783,0.001752207
1,1,0.00623869,0.9904518,0.0033095174
2,2,0.0046373103,0.019506954,0.9758557
0,0,0.9926513,0.0065893545,0.00075930497
1,1,0.003316005,0.9236724,0.07301163
2,2,0.0017891108,0.0043546353,0.99385625
0,0,0.9788625,0.019258996,0.001878467
1,1,0.004777887,0.9923511,0.0028709057
2,2,0.0062687784,0.02753491,0.9661963
0,0,0.99425185,0.005023933,0.0007243089
1,1,0.0039031238,0.8643523,0.1317446
2,2,0.002046197,0.005250317,0.99270356
0,0,0.97744024,0.020502528,0.0020573176
1,1,0.004871476,0.9924528,0.0026757242
2,2,0.0043259067,0.018177582,0.9774965
0,0,0.9937499,0.0055085625,0.00074142707
1,1,0.0031565747,0.85491604,0.1419274
2,2,0.0021671914,0.0049921307,0.99284065
0,0,0.97775525,0.020334935,0.0019098485
1,1,0.0038819849,0.99366117,0.0024568674
